Date	Order	Scored	Against	Place	Result	Type	Rival
29.03.2000	687	1	1	away	drawn	friendly	Other
26.04.2000	688	1	1	home	drawn	friendly	Other
03.06.2000	689	3	2	home	won	friendly	Other
07.06.2000	690	8	2	home	won	friendly	Other
12.06.2000	691	1	1	away	drawn	official	Other
17.06.2000	692	0	1	away	lost	official	World
20.06.2000	693	0	3	away	lost	official	Other
16.08.2000	694	4	1	home	won	friendly	World
02.09.2000	695	2	0	home	won	official	Other
07.10.2000	696	1	0	away	won	official	World
15.11.2000	697	1	2	away	lost	friendly	Other
27.02.2001	698	0	1	away	lost	friendly	World
24.03.2001	699	2	1	home	won	official	Other
28.03.2001	700	4	2	away	won	official	Other
29.05.2001	701	2	0	home	won	friendly	Other
02.06.2001	702	2	2	away	drawn	official	Other
06.06.2001	703	2	0	away	won	official	Other
15.08.2001	704	5	2	away	won	friendly	Other
01.09.2001	705	1	5	home	lost	official	World
06.10.2001	706	0	0	home	drawn	official	Other
10.11.2001	707	1	1	away	drawn	official	Other
14.11.2001	708	4	1	home	won	official	Other
13.02.2002	709	7	1	home	won	friendly	Other
27.03.2002	710	4	2	home	won	friendly	Other
17.04.2002	711	0	1	home	lost	friendly	World
09.05.2002	712	7	0	home	won	friendly	Other
14.05.2002	713	0	1	away	lost	friendly	Other
18.05.2002	714	6	2	home	won	friendly	Other
01.06.2002	715	8	0	away	won	official	Other
05.06.2002	716	1	1	away	drawn	official	Other
11.06.2002	717	2	0	away	won	official	Other
15.06.2002	718	1	0	away	won	official	Other
21.06.2002	719	1	0	away	won	official	Other
25.06.2002	720	1	0	away	won	official	Other
30.06.2002	721	0	2	away	lost	official	World
21.08.2002	722	2	2	away	drawn	friendly	Other
07.09.2002	723	2	0	away	won	official	Other
11.10.2002	724	1	1	away	drawn	friendly	Other
16.10.2002	725	2	1	home	won	official	Other
20.11.2002	726	1	3	home	lost	friendly	Other
12.02.2003	727	1	3	away	lost	friendly	World
29.03.2003	728	1	1	home	drawn	official	Other
30.04.2003	729	1	0	home	won	friendly	Other
01.06.2003	730	4	1	home	won	friendly	Other
07.06.2003	731	1	1	away	drawn	official	Other
11.06.2003	732	2	0	away	won	official	Other
20.08.2003	733	0	1	home	lost	friendly	World
06.09.2003	734	0	0	away	drawn	official	Other
10.09.2003	735	2	1	home	won	official	Other
11.10.2003	736	3	0	home	won	official	Other
15.11.2003	737	0	3	home	lost	friendly	World
18.02.2004	738	2	1	away	won	friendly	Other
31.03.2004	739	3	0	home	won	friendly	Other
28.04.2004	740	1	5	away	lost	friendly	Other
27.05.2004	741	7	0	home	won	friendly	Other
02.06.2004	742	2	0	away	won	friendly	Other
06.06.2004	743	0	2	home	lost	friendly	Other
15.06.2004	744	1	1	away	drawn	official	Other
19.06.2004	745	0	0	away	drawn	official	Other
23.06.2004	746	1	2	away	lost	official	Other
18.08.2004	747	3	1	away	won	friendly	Other
08.09.2004	748	1	1	home	drawn	friendly	World
09.10.2004	749	2	0	away	won	friendly	Other
17.11.2004	750	3	0	home	won	friendly	Other
16.12.2004	751	3	0	away	won	friendly	Other
19.12.2004	752	1	3	away	lost	friendly	Other
21.12.2004	753	5	1	away	won	friendly	Other
09.02.2005	754	2	2	home	drawn	friendly	World
26.03.2005	755	1	0	away	won	friendly	Other
04.06.2005	756	4	1	away	won	friendly	Other
08.06.2005	757	2	2	home	drawn	friendly	Other
15.06.2005	758	4	3	home	won	official	Other
18.06.2005	759	3	0	home	won	official	Other
21.06.2005	760	2	2	home	drawn	official	World
25.06.2005	761	2	3	home	lost	official	World
29.06.2005	762	4	3	home	won	official	Other
17.08.2005	763	2	2	away	drawn	friendly	Other
03.09.2005	764	0	2	away	lost	friendly	Other
07.09.2005	765	4	2	home	won	friendly	Other
08.10.2005	766	1	2	away	lost	friendly	Other
12.10.2005	767	1	0	home	won	friendly	Other
12.11.2005	768	0	0	away	drawn	friendly	World
01.03.2006	769	1	4	away	lost	friendly	World
22.03.2006	770	4	1	home	won	friendly	Other
27.05.2006	771	7	0	home	won	friendly	Other
30.05.2006	772	2	2	home	drawn	friendly	Other
02.06.2006	773	3	0	home	won	friendly	Other
09.06.2006	774	4	2	home	won	official	Other
14.06.2006	775	1	0	home	won	official	Other
20.06.2006	776	3	0	home	won	official	Other
24.06.2006	777	2	0	home	won	official	Other
30.06.2006	778	1	1	home	won	official	World
04.07.2006	779	0	2	home	lost	official	World
08.07.2006	780	3	1	home	won	official	Other
16.08.2006	781	3	0	home	won	friendly	Other
02.09.2006	782	1	0	home	won	official	Other
06.09.2006	783	13	0	away	won	official	Other
07.10.2006	784	2	0	home	won	friendly	Other
11.10.2006	785	4	1	away	won	official	Other
15.11.2006	786	1	1	away	drawn	official	Other
07.02.2007	787	3	1	home	won	friendly	Other
24.03.2007	788	2	1	away	won	official	Other
28.03.2007	789	0	1	home	lost	friendly	Other
02.06.2007	790	6	0	home	won	official	Other
06.06.2007	791	2	1	home	won	official	Other
22.08.2007	792	2	1	away	won	friendly	World
08.09.2007	793	2	0	away	won	official	Other
12.09.2007	794	3	1	home	won	friendly	Other
13.10.2007	795	0	0	away	drawn	official	Other
17.10.2007	796	0	3	home	lost	official	Other
17.11.2007	797	4	0	home	won	official	Other
21.11.2007	798	0	0	home	drawn	official	Other
06.02.2008	799	3	0	away	won	friendly	Other
26.03.2008	800	4	0	away	won	friendly	Other
27.05.2008	801	2	2	home	drawn	friendly	Other
31.05.2008	802	2	1	home	won	friendly	Other
08.06.2008	803	2	0	away	won	official	Other
12.06.2008	804	1	2	away	lost	official	Other
16.06.2008	805	1	0	away	won	official	Other
19.06.2008	806	3	2	away	won	official	Other
25.06.2008	807	3	2	away	won	official	Other
29.06.2008	808	0	1	away	lost	official	World
20.08.2008	809	2	0	home	won	friendly	Other
06.09.2008	810	6	0	away	won	official	Other
10.09.2008	811	3	3	away	drawn	official	Other
11.10.2008	812	2	1	home	won	official	Other
15.10.2008	813	1	0	home	won	official	Other
19.11.2008	814	1	2	home	lost	friendly	World
11.02.2009	815	0	1	home	lost	friendly	Other
28.03.2009	816	4	0	home	won	official	Other
01.04.2009	817	2	0	away	won	official	Other
29.05.2009	818	1	1	away	drawn	friendly	Other
02.06.2009	819	7	2	away	won	friendly	Other
12.08.2009	820	2	0	away	won	official	Other
05.09.2009	821	2	0	home	won	friendly	Other
09.09.2009	822	4	0	home	won	official	Other
10.10.2009	823	1	0	away	won	official	Other
14.10.2009	824	1	1	home	drawn	official	Other
18.11.2009	825	2	2	home	drawn	friendly	Other
03.03.2010	826	0	1	home	lost	friendly	World
13.05.2010	827	3	0	home	won	friendly	Other
29.05.2010	828	3	0	away	won	friendly	Other
03.06.2010	829	3	1	home	won	friendly	Other
13.06.2010	830	4	0	away	won	official	Other
18.06.2010	831	0	1	away	lost	official	Other
23.06.2010	832	1	0	away	won	official	Other
27.06.2010	833	4	1	away	won	official	World
03.07.2010	834	4	0	away	won	official	World
07.07.2010	835	0	1	away	lost	official	World
10.07.2010	836	3	2	away	won	official	World
11.08.2010	837	2	2	away	drawn	friendly	Other
03.09.2010	838	1	0	away	won	official	Other
07.09.2010	839	6	1	home	won	official	Other
08.10.2010	840	3	0	home	won	official	Other
12.10.2010	841	3	0	away	won	official	Other
17.11.2010	842	0	0	away	drawn	friendly	Other
09.02.2011	843	1	1	home	drawn	friendly	World
26.03.2011	844	4	0	home	won	official	Other
29.03.2011	845	1	2	home	lost	friendly	Other
29.05.2011	846	2	1	home	won	friendly	World
03.06.2011	847	2	1	away	won	official	Other
07.06.2011	848	3	1	away	won	official	Other
10.08.2011	849	3	2	home	won	friendly	World
02.09.2011	850	6	2	home	won	official	Other
06.09.2011	851	2	2	away	drawn	friendly	Other
07.10.2011	852	3	1	away	won	official	Other
11.10.2011	853	3	1	home	won	official	Other
11.11.2011	854	3	3	away	drawn	friendly	Other
15.11.2011	855	3	0	home	won	friendly	Other
29.02.2012	856	1	2	home	lost	friendly	World
26.05.2012	857	3	5	away	lost	friendly	Other
31.05.2012	858	2	0	home	won	friendly	Other
09.06.2012	859	1	0	away	won	official	Other
13.06.2012	860	2	1	away	won	official	Other
17.06.2012	861	2	1	away	won	official	Other
22.06.2012	862	4	2	away	won	official	Other
28.06.2012	863	1	2	away	lost	official	World
15.08.2012	864	1	3	home	lost	friendly	World
07.09.2012	865	3	0	home	won	official	Other
11.09.2012	866	2	1	away	won	official	Other
12.10.2012	867	6	1	away	won	official	Other
16.10.2012	868	4	4	home	drawn	official	Other
14.11.2012	869	0	0	away	drawn	friendly	Other
06.02.2013	870	2	1	away	won	friendly	World
22.03.2013	871	3	0	away	won	official	Other
26.03.2013	872	4	1	home	won	official	Other
29.05.2013	873	4	2	away	won	friendly	Other
02.06.2013	874	3	4	away	lost	friendly	Other
14.08.2013	875	3	3	home	drawn	friendly	Other
06.09.2013	876	3	0	home	won	official	Other
10.09.2013	877	3	0	away	won	official	Other
11.10.2013	878	3	0	home	won	official	Other
15.10.2013	879	5	3	away	won	official	Other
15.11.2013	880	1	1	away	drawn	friendly	World
19.11.2013	881	1	0	away	won	friendly	World
05.03.2014	882	1	0	home	won	friendly	Other
13.05.2014	883	0	0	home	drawn	friendly	Other
01.06.2014	884	2	2	home	drawn	friendly	Other
06.06.2014	885	6	1	home	won	friendly	Other
16.06.2014	886	4	0	away	won	official	Other
21.06.2014	887	2	2	away	drawn	official	Other
26.06.2014	888	1	0	away	won	official	Other
30.06.2014	889	2	1	away	won	official	Other
04.07.2014	890	1	0	away	won	official	World
08.07.2014	891	7	1	away	won	official	World
13.07.2014	892	1	0	away	won	official	World
03.09.2014	893	2	4	home	lost	friendly	World
07.09.2014	894	2	1	home	won	official	Other
11.10.2014	895	0	2	away	lost	official	Other
14.10.2014	896	1	1	home	drawn	official	Other
14.11.2014	897	4	0	home	won	official	Other
18.11.2014	898	1	0	away	won	friendly	World
25.03.2015	899	2	2	home	drawn	friendly	Other
29.03.2015	900	2	0	away	won	official	Other
10.06.2015	901	1	2	home	lost	friendly	Other
13.06.2015	902	7	0	away	won	official	Other
04.09.2015	903	3	1	home	won	official	Other
07.09.2015	904	3	2	away	won	official	Other
08.10.2015	905	0	1	away	lost	official	Other
11.10.2015	906	2	1	home	won	official	Other
13.11.2015	907	0	2	away	lost	friendly	World
26.03.2016	908	2	3	home	lost	friendly	World
29.03.2016	909	4	1	home	won	friendly	World
29.05.2016	910	1	3	away	lost	friendly	Other
04.06.2016	911	2	0	home	won	friendly	Other
12.06.2016	912	2	0	neutral	won	official	Other
16.06.2016	913	0	0	neutral	drawn	official	Other
21.06.2016	914	1	0	neutral	won	official	Other
26.06.2016	915	3	0	neutral	won	official	Other
02.07.2016	916	1	1	neutral	won	official	World
07.07.2016	917	0	2	neutral	lost	official	World
31.08.2016	918	2	0	home	won	friendly	World
04.09.2016	919	3	0	away	won	official	Other
08.10.2016	920	3	0	home	won	official	Other
11.10.2016	921	2	0	home	won	official	Other
11.11.2016	922	8	0	away	won	official	Other
15.11.2016	923	0	0	away	drawn	friendly	World
22.03.2017	924	1	0	home	won	friendly	World
26.03.2017	925	4	1	away	won	official	Other
06.06.2017	926	1	1	away	drawn	friendly	Other
10.06.2017	927	7	0	home	won	official	Other
19.06.2017	928	3	2	neutral	won	official	Other
22.06.2017	929	1	1	neutral	drawn	official	Other
25.06.2017	930	3	1	neutral	won	official	Other
29.06.2017	931	4	1	neutral	won	official	Other
02.07.2017	932	1	0	neutral	won	official	Other
01.09.2017	933	2	1	away	won	official	Other
04.09.2017	934	6	0	home	won	official	Other
05.10.2017	935	3	1	away	won	official	Other
08.10.2017	936	5	1	home	won	official	Other
10.11.2017	937	0	0	away	drawn	friendly	World
14.11.2017	938	2	2	home	drawn	friendly	World
23.03.2018	939	1	1	home	drawn	friendly	World
27.03.2018	940	0	1	home	lost	friendly	World
02.06.2018	941	1	2	away	lost	friendly	Other
08.06.2018	942	2	1	home	won	friendly	Other
17.06.2018	943	0	1	neutral	lost	official	Other
23.06.2018	944	2	1	neutral	won	official	Other
27.06.2018	945	0	2	neutral	lost	official	Other
06.09.2018	946	0	0	home	drawn	official	World
09.09.2018	947	2	1	home	won	friendly	Other
13.10.2018	948	0	3	away	lost	official	Other
