Date	Order	Scored	Against	Place	Result	Type	Rival
17.02.1935	108	3	2	away	won	friendly	Other
17.03.1935	109	3	1	away	won	friendly	World
28.04.1935	110	6	1	away	won	friendly	Other
08.05.1935	111	3	1	home	won	friendly	Other
12.05.1935	112	1	2	home	lost	friendly	World
26.05.1935	113	2	1	home	won	friendly	Other
27.06.1935	114	1	1	away	drawn	friendly	Other
30.06.1935	115	1	3	away	lost	friendly	Other
18.08.1935	116	6	0	home	won	friendly	Other
18.08.1935	117	1	0	away	won	friendly	Other
25.08.1935	118	4	2	home	won	friendly	Other
15.09.1935	119	1	0	home	won	friendly	Other
15.09.1935	120	5	0	home	won	friendly	Other
13.10.1935	121	3	0	home	won	friendly	Other
20.10.1935	122	4	2	home	won	friendly	Other
04.12.1935	123	0	3	away	lost	friendly	World
23.02.1936	124	2	1	away	won	friendly	World
27.02.1936	125	3	1	away	won	friendly	Other
15.03.1936	126	2	3	away	lost	friendly	Other
04.08.1936	127	9	0	home	won	official	Other
07.08.1936	128	0	2	home	lost	official	Other
13.09.1936	129	1	1	away	drawn	friendly	Other
27.09.1936	130	7	2	home	won	friendly	Other
27.09.1936	131	2	1	away	won	friendly	Other
14.10.1936	132	0	2	away	lost	friendly	Other
17.10.1936	133	2	5	away	lost	friendly	Other
15.11.1936	134	2	2	home	drawn	friendly	World
31.01.1937	135	2	2	home	drawn	friendly	Other
21.03.1937	136	4	0	home	won	friendly	World
21.03.1937	137	3	2	away	won	friendly	Other
25.04.1937	138	1	0	home	won	friendly	Other
02.05.1937	139	1	0	away	won	friendly	Other
16.05.1937	140	8	0	home	won	friendly	Other
25.06.1937	141	3	1	away	won	friendly	Other
29.06.1937	142	2	0	away	won	official	Other
29.08.1937	143	4	1	home	won	official	Other
24.10.1937	144	3	0	home	won	friendly	Other
21.11.1937	145	5	0	home	won	official	Other
06.02.1938	146	1	1	home	drawn	friendly	Other
20.03.1938	147	1	1	home	drawn	friendly	Other
20.03.1938	148	2	1	home	won	friendly	Other
24.04.1938	149	1	1	home	drawn	friendly	Other
14.05.1938	150	3	6	home	lost	friendly	World
04.06.1938	151	1	1	away	drawn	official	Other
09.06.1938	152	2	4	away	lost	official	Other
18.09.1938	153	4	1	home	won	friendly	Other
25.09.1938	154	4	1	away	won	friendly	Other
25.01.1939	155	4	1	away	won	friendly	Other
26.02.1939	156	3	2	home	won	friendly	Other
26.03.1939	157	2	3	away	lost	friendly	World
26.03.1939	158	1	2	away	lost	friendly	Other
23.05.1939	159	1	1	home	drawn	friendly	Other
22.06.1939	160	4	0	away	won	friendly	Other
25.06.1939	161	2	0	away	won	friendly	Other
29.06.1939	162	2	0	away	won	friendly	Other
27.08.1939	163	0	2	away	lost	friendly	Other
24.09.1939	164	1	5	away	lost	friendly	Other
15.10.1939	165	5	1	away	won	friendly	Other
22.10.1939	166	2	1	away	won	friendly	Other
12.11.1939	167	4	4	home	drawn	friendly	Other
26.11.1939	168	5	2	home	won	friendly	World
03.12.1939	169	3	1	home	won	friendly	Other
07.04.1940	170	2	2	home	drawn	friendly	Other
14.04.1940	171	1	2	home	lost	friendly	Other
05.05.1940	172	2	3	away	lost	friendly	World
14.07.1940	173	9	3	home	won	friendly	Other
01.09.1940	174	13	0	home	won	friendly	Other
15.09.1940	175	1	0	away	won	friendly	Other
06.10.1940	176	2	2	away	drawn	friendly	Other
20.10.1940	177	7	3	home	won	friendly	Other
03.11.1940	178	0	2	away	lost	friendly	Other
17.11.1940	179	1	0	home	won	friendly	Other
09.03.1941	180	4	2	home	won	friendly	Other
06.04.1941	181	7	0	home	won	friendly	Other
20.04.1941	182	1	2	away	lost	friendly	Other
01.06.1941	183	4	1	away	won	friendly	Other
15.06.1941	184	5	1	home	won	friendly	Other
05.10.1941	185	2	4	away	lost	friendly	Other
05.10.1941	186	6	0	away	won	friendly	Other
16.11.1941	187	1	1	home	drawn	friendly	Other
07.12.1941	188	4	0	home	won	friendly	Other
18.01.1942	189	2	0	away	won	friendly	Other
01.02.1942	190	1	2	home	lost	friendly	Other
12.04.1942	191	1	1	home	drawn	friendly	World
03.05.1942	192	5	3	away	won	friendly	Other
19.07.1942	193	3	0	away	won	friendly	Other
16.08.1942	194	7	0	home	won	friendly	Other
20.09.1942	195	2	3	home	lost	friendly	Other
18.10.1942	196	5	3	away	won	friendly	Other
01.11.1942	197	5	1	home	won	friendly	Other
22.11.1942	198	5	2	away	won	friendly	Other
22.11.1950	199	1	0	home	won	friendly	Other
15.04.1951	200	3	2	away	won	friendly	Other
17.06.1951	201	1	2	home	lost	friendly	Other
23.09.1951	202	2	0	away	won	friendly	Other
17.10.1951	203	2	3	away	lost	friendly	Other
21.11.1951	204	2	0	away	won	friendly	Other
23.12.1951	205	4	1	home	won	friendly	Other
20.04.1952	206	3	0	away	won	friendly	Other
04.05.1952	207	3	0	home	won	friendly	Other
05.10.1952	208	1	3	away	lost	friendly	World
09.11.1952	209	5	1	home	won	friendly	Other
21.12.1952	210	3	2	home	won	friendly	Other
28.12.1952	211	2	2	away	drawn	friendly	World
22.03.1953	212	0	0	home	drawn	friendly	Other
19.08.1953	213	1	1	away	drawn	official	Other
11.10.1953	214	3	0	home	won	official	Other
22.11.1953	215	5	1	home	won	official	Other
28.03.1954	216	3	1	away	won	official	Other
25.04.1954	217	5	3	away	won	friendly	Other
17.06.1954	218	4	1	away	won	official	Other
20.06.1954	219	3	8	away	lost	official	Other
23.06.1954	220	7	2	away	won	official	Other
27.06.1954	221	2	0	away	won	official	Other
30.06.1954	222	6	1	away	won	official	Other
04.07.1954	223	3	2	away	won	official	Other
26.09.1954	224	0	2	away	lost	friendly	Other
16.10.1954	225	1	3	home	lost	friendly	World
01.12.1954	226	1	3	away	lost	friendly	World
19.12.1954	227	3	0	away	won	friendly	Other
30.03.1955	228	1	2	home	lost	friendly	World
28.05.1955	229	2	1	home	won	friendly	Other
21.08.1955	230	2	3	away	lost	friendly	Other
25.09.1955	231	1	3	away	lost	friendly	Other
16.11.1955	232	2	0	home	won	friendly	Other
18.12.1955	233	1	2	away	lost	friendly	World
14.03.1956	234	1	2	home	lost	friendly	Other
26.05.1956	235	1	3	home	lost	friendly	World
13.06.1956	236	3	1	away	won	friendly	Other
30.06.1956	237	2	2	away	drawn	friendly	Other
15.09.1956	238	1	2	home	lost	friendly	Other
21.11.1956	239	1	3	home	lost	friendly	Other
25.11.1956	240	0	3	away	lost	friendly	Other
23.12.1956	241	4	1	home	won	friendly	Other
10.03.1957	242	3	2	away	won	friendly	Other
03.04.1957	243	2	1	away	won	friendly	Other
22.05.1957	244	1	3	home	lost	friendly	Other
20.11.1957	245	1	0	home	won	friendly	Other
22.12.1957	246	1	0	home	won	friendly	Other
02.03.1958	247	2	0	away	won	friendly	Other
19.03.1958	248	2	0	home	won	friendly	World
02.04.1958	249	2	3	away	lost	friendly	Other
08.06.1958	250	3	1	away	won	official	World
11.06.1958	251	2	2	away	drawn	official	Other
15.06.1958	252	2	2	away	drawn	official	Other
19.06.1958	253	1	0	away	won	official	Other
24.06.1958	254	1	3	away	lost	official	Other
28.06.1958	255	3	6	away	lost	official	World
24.09.1958	256	1	1	away	drawn	friendly	Other
26.10.1958	257	2	2	away	drawn	friendly	World
19.11.1958	258	2	2	home	drawn	friendly	Other
21.12.1958	259	3	0	home	won	friendly	Other
28.12.1958	260	1	2	away	lost	friendly	Other
06.05.1959	261	2	3	away	lost	friendly	Other
20.05.1959	262	1	1	home	drawn	friendly	Other
04.10.1959	263	4	0	away	won	friendly	Other
21.10.1959	264	7	0	home	won	friendly	Other
08.11.1959	265	3	4	away	lost	friendly	Other
20.12.1959	266	1	1	home	drawn	friendly	Other
23.03.1960	267	2	1	home	won	friendly	Other
27.04.1960	268	2	1	home	won	friendly	Other
11.05.1960	269	0	1	home	lost	friendly	Other
03.08.1960	270	5	0	away	won	friendly	Other
26.10.1960	271	4	3	away	won	official	Other
20.11.1960	272	3	0	away	won	official	Other
23.11.1960	273	1	2	away	lost	friendly	Other
08.03.1961	274	1	0	home	won	friendly	Other
26.03.1961	275	1	3	away	lost	friendly	Other
10.05.1961	276	2	1	home	won	official	Other
20.09.1961	277	5	1	home	won	friendly	Other
08.10.1961	278	2	0	away	won	friendly	Other
22.10.1961	279	2	1	home	won	official	Other
11.04.1962	280	3	0	home	won	friendly	World
31.05.1962	281	0	0	away	drawn	official	World
03.06.1962	282	2	1	away	won	official	Other
06.06.1962	283	2	0	away	won	official	Other
10.06.1962	284	0	1	away	lost	official	Other
30.09.1962	285	3	2	away	won	friendly	Other
24.10.1962	286	2	2	home	drawn	friendly	World
23.12.1962	287	5	1	home	won	friendly	Other
05.05.1963	288	1	2	home	lost	friendly	World
28.09.1963	289	3	0	home	won	friendly	Other
03.11.1963	290	1	2	away	lost	friendly	Other
29.12.1963	291	4	1	away	won	friendly	Other
01.01.1964	292	0	2	away	lost	friendly	Other
29.04.1964	293	3	4	home	lost	friendly	Other
12.05.1964	294	2	2	home	drawn	friendly	Other
07.06.1964	295	4	1	away	won	friendly	Other
04.11.1964	296	1	1	home	drawn	official	Other
13.03.1965	297	1	1	home	drawn	friendly	World
24.04.1965	298	5	0	home	won	official	Other
12.05.1965	299	0	1	home	lost	friendly	World
26.05.1965	300	1	0	away	won	friendly	Other
06.06.1965	301	0	2	away	lost	friendly	World
26.09.1965	302	2	1	away	won	official	Other
09.10.1965	303	4	1	home	won	friendly	Other
14.11.1965	304	6	0	away	won	official	Other
23.02.1966	305	0	1	away	lost	friendly	World
23.03.1966	306	4	2	away	won	friendly	Other
04.05.1966	307	4	0	away	won	friendly	Other
07.05.1966	308	2	0	away	won	friendly	Other
01.06.1966	309	1	0	home	won	friendly	Other
23.06.1966	310	2	0	home	won	friendly	Other
12.07.1966	311	5	0	away	won	official	Other
16.07.1966	312	0	0	away	drawn	official	World
20.07.1966	313	2	1	away	won	official	World
23.07.1966	314	4	0	away	won	official	World
25.07.1966	315	2	1	away	won	official	Other
30.07.1966	316	2	4	away	lost	official	World
12.10.1966	317	2	0	away	won	friendly	Other
19.11.1966	318	3	0	home	won	friendly	Other
22.02.1967	319	5	1	home	won	friendly	Other
22.03.1967	320	1	0	home	won	friendly	Other
08.04.1967	321	6	0	home	won	official	Other
03.05.1967	322	0	1	away	lost	official	Other
27.09.1967	323	5	1	home	won	friendly	World
07.10.1967	324	3	1	home	won	official	Other
22.11.1967	325	0	1	away	lost	friendly	Other
17.12.1967	326	0	0	away	drawn	official	Other
06.03.1968	327	3	1	away	won	friendly	Other
17.04.1968	328	0	0	away	drawn	friendly	Other
08.05.1968	329	1	1	away	drawn	friendly	Other
01.06.1968	330	1	0	home	won	friendly	World
16.06.1968	331	2	1	home	won	friendly	World
25.09.1968	332	1	1	away	drawn	friendly	World
13.10.1968	333	2	0	away	won	official	Other
23.11.1968	334	1	0	away	won	official	Other
14.12.1968	335	2	2	away	drawn	friendly	World
18.12.1968	336	1	2	away	lost	friendly	Other
22.12.1968	337	0	0	away	drawn	friendly	Other
26.03.1969	338	1	1	home	drawn	friendly	Other
16.04.1969	339	1	1	away	drawn	official	Other
10.05.1969	340	1	0	home	won	official	Other
21.05.1969	341	12	0	home	won	official	Other
21.09.1969	342	1	1	away	drawn	friendly	Other
24.09.1969	343	1	0	away	won	friendly	Other
22.10.1969	344	3	2	home	won	official	Other
11.02.1970	345	0	2	away	lost	friendly	World
08.04.1970	346	1	1	home	drawn	friendly	Other
09.05.1970	347	2	1	home	won	friendly	Other
13.05.1970	348	1	0	home	won	friendly	Other
03.06.1970	349	2	1	away	won	official	Other
07.06.1970	350	5	2	away	won	official	Other
10.06.1970	351	3	1	away	won	official	Other
14.06.1970	352	3	2	away	won	official	World
17.06.1970	353	3	4	away	lost	official	World
20.06.1970	354	1	0	away	won	official	World
09.09.1970	355	3	1	home	won	friendly	Other
17.10.1970	356	1	1	home	drawn	official	Other
18.11.1970	357	0	2	away	lost	friendly	Other
22.11.1970	358	3	1	away	won	friendly	Other
17.02.1971	359	1	0	away	won	official	Other
25.04.1971	360	3	0	away	won	official	Other
12.06.1971	361	2	0	home	won	official	Other
22.06.1971	362	7	1	away	won	friendly	Other
27.06.1971	363	0	1	away	lost	friendly	Other
30.06.1971	364	3	1	away	won	friendly	Other
08.09.1971	365	5	0	home	won	friendly	Other
10.10.1971	366	3	1	away	won	official	Other
17.11.1971	367	0	0	home	drawn	official	Other
29.03.1972	368	2	0	away	won	friendly	Other
29.04.1972	369	3	1	away	won	official	World
13.05.1972	370	0	0	home	drawn	official	World
26.05.1972	371	4	1	home	won	friendly	Other
14.06.1972	372	2	1	away	won	official	Other
18.06.1972	373	3	0	away	won	official	Other
15.11.1972	374	5	1	home	won	friendly	Other
14.02.1973	375	2	3	home	lost	friendly	World
28.03.1973	376	3	0	home	won	friendly	Other
09.05.1973	377	0	1	home	lost	friendly	Other
12.05.1973	378	3	0	home	won	friendly	Other
16.06.1973	379	0	1	home	lost	friendly	World
05.09.1973	380	1	0	away	won	friendly	Other
10.10.1973	381	4	0	home	won	friendly	Other
13.10.1973	382	2	1	home	won	friendly	World
14.11.1973	383	1	1	away	drawn	friendly	Other
24.11.1973	384	2	1	home	won	friendly	World
23.02.1974	385	0	1	away	lost	friendly	World
26.02.1974	386	0	0	away	drawn	friendly	World
27.03.1974	387	2	1	home	won	friendly	Other
17.04.1974	388	5	0	home	won	friendly	Other
01.05.1974	389	2	0	home	won	friendly	Other
14.06.1974	390	1	0	home	won	official	Other
18.06.1974	391	3	0	home	won	official	Other
22.06.1974	392	0	1	home	lost	official	Other
26.06.1974	393	2	0	home	won	official	Other
30.06.1974	394	4	2	home	won	official	Other
03.07.1974	395	1	0	home	won	official	Other
07.07.1974	396	2	1	home	won	official	Other
04.09.1974	397	2	1	away	won	friendly	Other
20.11.1974	398	2	2	away	drawn	official	Other
22.12.1974	399	1	0	away	won	official	Other
12.03.1975	400	0	2	away	lost	friendly	World
27.04.1975	401	1	1	away	drawn	official	Other
17.05.1975	402	1	1	home	drawn	friendly	Other
03.09.1975	403	2	0	away	won	friendly	Other
11.10.1975	404	1	1	home	drawn	official	Other
19.11.1975	405	1	0	home	won	official	Other
20.12.1975	406	5	0	away	won	friendly	Other
28.02.1976	407	8	0	home	won	official	Other
24.04.1976	408	1	1	away	drawn	official	World
22.05.1976	409	2	0	home	won	official	World
17.06.1976	410	4	2	away	won	official	Other
20.06.1976	411	2	2	away	drawn	official	Other
06.10.1976	412	2	0	away	won	friendly	Other
17.11.1976	413	2	0	home	won	friendly	Other
23.02.1977	414	0	1	away	lost	friendly	World
27.04.1977	415	5	0	home	won	friendly	Other
30.04.1977	416	2	1	away	won	friendly	Other
05.06.1977	417	3	1	away	won	friendly	World
08.06.1977	418	2	0	away	won	friendly	World
12.06.1977	419	1	1	away	drawn	friendly	World
14.06.1977	420	2	2	away	drawn	friendly	Other
07.09.1977	421	1	0	away	won	friendly	Other
08.10.1977	422	2	1	home	won	friendly	World
16.11.1977	423	4	1	home	won	friendly	Other
14.12.1977	424	1	1	home	drawn	friendly	Other
22.02.1978	425	2	1	home	won	friendly	World
08.03.1978	426	1	0	home	won	friendly	Other
05.04.1978	427	0	1	home	lost	friendly	World
19.04.1978	428	1	3	away	lost	friendly	Other
01.06.1978	429	0	0	away	drawn	official	Other
06.06.1978	430	6	0	away	won	official	Other
10.06.1978	431	0	0	away	drawn	official	Other
14.06.1978	432	0	0	away	drawn	official	World
18.06.1978	433	2	2	away	drawn	official	Other
21.06.1978	434	2	3	away	lost	official	Other
11.10.1978	435	4	3	away	won	friendly	Other
15.11.1978	436	0	0	home	drawn	friendly	Other
20.12.1978	437	3	1	home	won	friendly	Other
25.02.1979	438	0	0	away	drawn	official	Other
01.04.1979	439	0	0	away	drawn	official	Other
02.05.1979	440	2	0	away	won	official	Other
22.05.1979	441	3	1	away	won	friendly	Other
26.05.1979	442	3	1	away	won	friendly	Other
12.09.1979	443	2	1	home	won	friendly	World
17.10.1979	444	5	1	home	won	official	Other
21.11.1979	445	3	1	away	won	friendly	Other
22.12.1979	446	2	0	home	won	official	Other
27.02.1980	447	8	0	home	won	official	Other
02.04.1980	448	1	0	home	won	friendly	Other
13.05.1980	449	3	1	home	won	friendly	Other
11.06.1980	450	1	0	away	won	official	Other
14.06.1980	451	3	2	away	won	official	Other
17.06.1980	452	0	0	away	drawn	official	Other
22.06.1980	453	2	1	away	won	official	Other
10.09.1980	454	3	2	away	won	friendly	Other
11.10.1980	455	1	1	away	drawn	friendly	Other
19.11.1980	456	4	1	home	won	friendly	World
03.12.1980	457	3	1	away	won	official	Other
01.01.1981	458	1	2	away	lost	official	World
07.01.1981	459	1	4	away	lost	official	World
01.04.1981	460	2	0	away	won	official	Other
29.04.1981	461	2	0	home	won	official	Other
19.05.1981	462	1	2	home	lost	friendly	World
24.05.1981	463	4	0	away	won	official	Other
02.09.1981	464	2	0	away	won	friendly	Other
23.09.1981	465	7	1	home	won	official	Other
14.10.1981	466	3	1	away	won	official	Other
18.11.1981	467	8	0	home	won	official	Other
22.11.1981	468	4	0	home	won	official	Other
17.02.1982	469	3	1	home	won	friendly	Other
21.03.1982	470	0	1	away	lost	friendly	World
24.03.1982	471	1	1	away	drawn	friendly	World
14.04.1982	472	2	1	home	won	friendly	Other
12.05.1982	473	4	2	away	won	friendly	Other
16.06.1982	474	1	2	away	lost	official	Other
20.06.1982	475	4	1	away	won	official	Other
25.06.1982	476	1	0	away	won	official	Other
29.06.1982	477	0	0	away	drawn	official	World
02.07.1982	478	2	1	away	won	official	World
08.07.1982	479	3	3	away	won	official	World
11.07.1982	480	1	3	away	lost	official	World
22.09.1982	481	0	0	home	drawn	friendly	Other
13.10.1982	482	2	1	away	won	friendly	World
17.11.1982	483	0	1	away	lost	official	Other
23.02.1983	484	0	1	away	lost	friendly	Other
30.03.1983	485	2	1	away	won	official	Other
23.04.1983	486	3	0	away	won	official	Other
27.04.1983	487	0	0	away	drawn	official	Other
07.06.1983	488	4	2	away	won	friendly	Other
07.09.1983	489	1	1	away	drawn	friendly	Other
05.10.1983	490	3	0	home	won	official	Other
26.10.1983	491	5	1	home	won	official	Other
16.11.1983	492	0	1	home	lost	official	Other
20.11.1983	493	2	1	home	won	official	Other
15.02.1984	494	3	2	away	won	friendly	Other
29.02.1984	495	1	0	away	won	friendly	Other
28.03.1984	496	2	1	home	won	friendly	Other
18.04.1984	497	0	1	away	lost	friendly	World
22.05.1984	498	1	0	away	won	friendly	World
14.06.1984	499	0	0	away	drawn	official	Other
17.06.1984	500	2	1	away	won	official	Other
20.06.1984	501	0	1	away	lost	official	World
12.09.1984	502	1	3	home	lost	friendly	World
17.10.1984	503	2	0	home	won	official	Other
16.12.1984	504	3	2	away	won	official	Other
29.01.1985	505	0	1	home	lost	friendly	Other
24.02.1985	506	2	1	away	won	official	Other
27.03.1985	507	6	0	home	won	official	Other
17.04.1985	508	4	1	home	won	friendly	Other
30.04.1985	509	5	1	away	won	official	Other
12.06.1985	510	0	3	away	lost	friendly	World
15.06.1985	511	0	2	away	lost	friendly	Other
28.08.1985	512	0	1	away	lost	friendly	Other
25.09.1985	513	2	2	away	drawn	official	Other
16.10.1985	514	0	1	home	lost	official	Other
17.11.1985	515	2	2	home	drawn	official	Other
05.02.1986	516	2	1	away	won	friendly	World
12.03.1986	517	2	0	home	won	friendly	World
09.04.1986	518	1	0	away	won	friendly	Other
11.05.1986	519	1	1	home	drawn	friendly	Other
14.05.1986	520	3	1	home	won	friendly	Other
04.06.1986	521	1	1	away	drawn	official	World
08.06.1986	522	2	1	away	won	official	Other
13.06.1986	523	0	2	away	lost	official	Other
17.06.1986	524	1	0	away	won	official	Other
21.06.1986	525	0	0	away	won	official	Other
25.06.1986	526	2	0	away	won	official	World
29.06.1986	527	2	3	away	lost	official	World
24.09.1986	528	2	0	away	won	friendly	Other
15.10.1986	529	2	2	home	drawn	friendly	World
29.10.1986	530	1	4	away	lost	friendly	Other
25.03.1987	531	2	0	away	won	friendly	Other
18.04.1987	532	0	0	home	drawn	friendly	World
12.08.1987	533	2	1	home	won	friendly	World
09.09.1987	534	3	1	home	won	friendly	World
23.09.1987	535	1	0	home	won	friendly	Other
14.10.1987	536	1	1	home	drawn	friendly	Other
18.11.1987	537	0	0	away	drawn	friendly	Other
12.12.1987	538	1	1	away	drawn	friendly	World
16.12.1987	539	0	1	away	lost	friendly	World
31.03.1988	540	0	0	home	lost	official	Other
02.04.1988	541	1	0	home	won	official	World
27.04.1988	542	1	0	home	won	friendly	Other
04.06.1988	543	1	1	home	drawn	friendly	Other
10.06.1988	544	1	1	home	drawn	official	World
14.06.1988	545	2	0	home	won	official	Other
17.06.1988	546	2	0	home	won	official	World
21.06.1988	547	1	2	home	lost	official	Other
31.08.1988	548	4	0	away	won	official	Other
21.09.1988	549	1	0	home	won	friendly	Other
19.10.1988	550	0	0	home	drawn	official	Other
22.03.1989	551	2	1	away	won	friendly	Other
